year,number,age,amount
2007,1,0,48
2007,1,1,300
2007,1,2,497
2007,1,3,620
2007,1,4,608
2007,1,5,540
2007,1,6,488
2007,1,7,403
2007,1,8,365
2007,1,9,358
2007,1,10,384
2007,1,11,350
2007,1,12,365
2007,1,13,467
2007,1,14,585
2007,1,15,752
2007,1,16,925
2007,1,17,831
2007,2,0,74
2007,2,1,275
2007,2,2,514
2007,2,3,666
2007,2,4,782
2007,2,5,800
2007,2,6,770
2007,2,7,739
2007,2,8,771
2007,2,9,721
2007,2,10,709
2007,2,11,772
2007,2,12,753
2007,2,13,699
2007,2,14,555
2007,2,15,418
2007,2,16,111
2007,2,17,19
2007,3,0,35
2007,3,1,112
2007,3,2,207
2007,3,3,234
2007,3,4,309
2007,3,5,321
2007,3,6,346
2007,3,7,328
2007,3,8,337
2007,3,9,324
2007,3,10,291
2007,3,11,254
2007,3,12,209
2007,3,13,131
2007,3,14,57
2007,3,15,19
2007,3,16,5
2007,3,17,
2007,4,0,14
2007,4,1,30
2007,4,2,59
2007,4,3,90
2007,4,4,94
2007,4,5,117
2007,4,6,99
2007,4,7,104
2007,4,8,95
2007,4,9,67
2007,4,10,56
2007,4,11,41
2007,4,12,19
2007,4,13,
2007,4,14,
2007,4,15,
2007,4,16,
2007,4,17,
2007,5 and over,0,9
2007,5 and over,1,16
2007,5 and over,2,24
2007,5 and over,3,21
2007,5 and over,4,30
2007,5 and over,5,31
2007,5 and over,6,24
2007,5 and over,7,13
2007,5 and over,8,6
2007,5 and over,9,9
2007,5 and over,10,7
2007,5 and over,11,
2007,5 and over,12,3
2007,5 and over,13,
2007,5 and over,14,
2007,5 and over,15,
2007,5 and over,16,
2007,5 and over,17,
2008,1,0,48
2008,1,1,294
2008,1,2,499
2008,1,3,591
2008,1,4,589
2008,1,5,497
2008,1,6,457
2008,1,7,444
2008,1,8,400
2008,1,9,375
2008,1,10,342
2008,1,11,327
2008,1,12,368
2008,1,13,441
2008,1,14,524
2008,1,15,740
2008,1,16,917
2008,1,17,843
2008,2,0,78
2008,2,1,267
2008,2,2,491
2008,2,3,693
2008,2,4,757
2008,2,5,777
2008,2,6,783
2008,2,7,742
2008,2,8,808
2008,2,9,706
2008,2,10,726
2008,2,11,691
2008,2,12,657
2008,2,13,574
2008,2,14,565
2008,2,15,
2008,2,16,96
2008,2,17,
2008,3,0,46
2008,3,1,121
2008,3,2,190
2008,3,3,280
2008,3,4,295
2008,3,5,332
2008,3,6,329
2008,3,7,321
2008,3,8,321
2008,3,9,281
2008,3,10,301
2008,3,11,263
2008,3,12,178
2008,3,13,103
2008,3,14,
2008,3,15,18
2008,3,16,3
2008,3,17,
2008,4,0,13
2008,4,1,44
2008,4,2,59
2008,4,3,88
2008,4,4,124
2008,4,5,102
2008,4,6,88
2008,4,7,80
2008,4,8,76
2008,4,9,71
2008,4,10,45
2008,4,11,39
2008,4,12,17
2008,4,13,8
2008,4,14,
2008,4,15,
2008,4,16,0
2008,4,17,0
2008,5 and over,0,7
2008,5 and over,1,10
2008,5 and over,2,19
2008,5 and over,3,34
2008,5 and over,4,26
2008,5 and over,5,27
2008,5 and over,6,30
2008,5 and over,7,20
2008,5 and over,8,16
2008,5 and over,9,7
2008,5 and over,10,8
2008,5 and over,11,4
2008,5 and over,12,0
2008,5 and over,13,0
2008,5 and over,14,0
2008,5 and over,15,0
2008,5 and over,16,0
2008,5 and over,17,0
2009,1,0,60
2009,1,1,314
2009,1,2,557
2009,1,3,605
2009,1,4,598
2009,1,5,527
2009,1,6,495
2009,1,7,466
2009,1,8,433
2009,1,9,385
2009,1,10,356
2009,1,11,359
2009,1,12,396
2009,1,13,470
2009,1,14,567
2009,1,15,863
2009,1,16,1028
2009,1,17,885
2009,2,0,
2009,2,1,283
2009,2,2,541
2009,2,3,719
2009,2,4,778
2009,2,5,844
2009,2,6,828
2009,2,7,769
2009,2,8,750
2009,2,9,727
2009,2,10,681
2009,2,11,671
2009,2,12,703
2009,2,13,697
2009,2,14,635
2009,2,15,394
2009,2,16,117
2009,2,17,
2009,3,0,34
2009,3,1,135
2009,3,2,197
2009,3,3,309
2009,3,4,324
2009,3,5,335
2009,3,6,373
2009,3,7,329
2009,3,8,323
2009,3,9,338
2009,3,10,293
2009,3,11,242
2009,3,12,209
2009,3,13,116
2009,3,14,55
2009,3,15,
2009,3,16,5
2009,3,17,
2009,4,0,16
2009,4,1,34
2009,4,2,51
2009,4,3,86
2009,4,4,95
2009,4,5,93
2009,4,6,80
2009,4,7,90
2009,4,8,96
2009,4,9,78
2009,4,10,69
2009,4,11,
2009,4,12,19
2009,4,13,
2009,4,14,
2009,4,15,
2009,4,16,0
2009,4,17,0
2009,5 and over,0,
2009,5 and over,1,10
2009,5 and over,2,16
2009,5 and over,3,31
2009,5 and over,4,28
2009,5 and over,5,24
2009,5 and over,6,25
2009,5 and over,7,22
2009,5 and over,8,17
2009,5 and over,9,10
2009,5 and over,10,11
2009,5 and over,11,
2009,5 and over,12,0
2009,5 and over,13,
2009,5 and over,14,
2009,5 and over,15,0
2009,5 and over,16,0
2009,5 and over,17,0
2010,1,0,71
2010,1,1,305
2010,1,2,532
2010,1,3,673
2010,1,4,604
2010,1,5,569
2010,1,6,507
2010,1,7,436
2010,1,8,383
2010,1,9,384
2010,1,10,378
2010,1,11,379
2010,1,12,442
2010,1,13,465
2010,1,14,595
2010,1,15,865
2010,1,16,1052
2010,1,17,856
2010,2,0,82
2010,2,1,279
2010,2,2,597
2010,2,3,725
2010,2,4,841
2010,2,5,802
2010,2,6,829
2010,2,7,820
2010,2,8,776
2010,2,9,799
2010,2,10,766
2010,2,11,764
2010,2,12,721
2010,2,13,718
2010,2,14,603
2010,2,15,424
2010,2,16,121
2010,2,17,20
2010,3,0,37
2010,3,1,117
2010,3,2,244
2010,3,3,317
2010,3,4,347
2010,3,5,332
2010,3,6,327
2010,3,7,329
2010,3,8,315
2010,3,9,291
2010,3,10,280
2010,3,11,235
2010,3,12,174
2010,3,13,145
2010,3,14,51
2010,3,15,
2010,3,16,
2010,3,17,0
2010,4,0,
2010,4,1,36
2010,4,2,71
2010,4,3,96
2010,4,4,113
2010,4,5,89
2010,4,6,96
2010,4,7,80
2010,4,8,84
2010,4,9,53
2010,4,10,64
2010,4,11,
2010,4,12,
2010,4,13,
2010,4,14,
2010,4,15,
2010,4,16,
2010,4,17,0
2010,5 and over,0,
2010,5 and over,1,24
2010,5 and over,2,29
2010,5 and over,3,38
2010,5 and over,4,38
2010,5 and over,5,30
2010,5 and over,6,21
2010,5 and over,7,13
2010,5 and over,8,18
2010,5 and over,9,14
2010,5 and over,10,9
2010,5 and over,11,
2010,5 and over,12,
2010,5 and over,13,
2010,5 and over,14,
2010,5 and over,15,0
2010,5 and over,16,0
2010,5 and over,17,0
2011,1,0,48
2011,1,1,272
2011,1,2,543
2011,1,3,663
2011,1,4,615
2011,1,5,535
2011,1,6,469
2011,1,7,427
2011,1,8,365
2011,1,9,349
2011,1,10,361
2011,1,11,351
2011,1,12,400
2011,1,13,448
2011,1,14,604
2011,1,15,755
2011,1,16,967
2011,1,17,902
2011,2,0,65
2011,2,1,272
2011,2,2,505
2011,2,3,730
2011,2,4,834
2011,2,5,806
2011,2,6,776
2011,2,7,788
2011,2,8,783
2011,2,9,687
2011,2,10,690
2011,2,11,738
2011,2,12,674
2011,2,13,655
2011,2,14,602
2011,2,15,413
2011,2,16,101
2011,2,17,21
2011,3,0,30
2011,3,1,97
2011,3,2,214
2011,3,3,319
2011,3,4,352
2011,3,5,341
2011,3,6,297
2011,3,7,289
2011,3,8,293
2011,3,9,298
2011,3,10,286
2011,3,11,237
2011,3,12,174
2011,3,13,103
2011,3,14,45
2011,3,15,10
2011,3,16,
2011,3,17,
2011,4,0,13
2011,4,1,43
2011,4,2,83
2011,4,3,85
2011,4,4,101
2011,4,5,98
2011,4,6,75
2011,4,7,68
2011,4,8,69
2011,4,9,76
2011,4,10,49
2011,4,11,36
2011,4,12,17
2011,4,13,7
2011,4,14,
2011,4,15,0
2011,4,16,
2011,4,17,0
2011,5 and over,0,3
2011,5 and over,1,14
2011,5 and over,2,30
2011,5 and over,3,41
2011,5 and over,4,22
2011,5 and over,5,20
2011,5 and over,6,19
2011,5 and over,7,12
2011,5 and over,8,7
2011,5 and over,9,13
2011,5 and over,10,4
2011,5 and over,11,5
2011,5 and over,12,4
2011,5 and over,13,0
2011,5 and over,14,
2011,5 and over,15,0
2011,5 and over,16,0
2011,5 and over,17,
2012,1,0,52
2012,1,1,256
2012,1,2,553
2012,1,3,620
2012,1,4,661
2012,1,5,578
2012,1,6,479
2012,1,7,413
2012,1,8,353
2012,1,9,368
2012,1,10,351
2012,1,11,354
2012,1,12,460
2012,1,13,503
2012,1,14,599
2012,1,15,782
2012,1,16,1051
2012,1,17,905
2012,2,0,
2012,2,1,213
2012,2,2,492
2012,2,3,735
2012,2,4,831
2012,2,5,845
2012,2,6,870
2012,2,7,765
2012,2,8,696
2012,2,9,720
2012,2,10,724
2012,2,11,724
2012,2,12,696
2012,2,13,714
2012,2,14,637
2012,2,15,424
2012,2,16,
2012,2,17,21
2012,3,0,33
2012,3,1,101
2012,3,2,203
2012,3,3,307
2012,3,4,358
2012,3,5,407
2012,3,6,332
2012,3,7,286
2012,3,8,280
2012,3,9,249
2012,3,10,260
2012,3,11,224
2012,3,12,200
2012,3,13,119
2012,3,14,45
2012,3,15,
2012,3,16,
2012,3,17,
2012,4,0,8
2012,4,1,45
2012,4,2,63
2012,4,3,94
2012,4,4,106
2012,4,5,107
2012,4,6,98
2012,4,7,92
2012,4,8,73
2012,4,9,55
2012,4,10,
2012,4,11,37
2012,4,12,16
2012,4,13,5
2012,4,14,
2012,4,15,
2012,4,16,
2012,4,17,
2012,5 and over,0,
2012,5 and over,1,20
2012,5 and over,2,31
2012,5 and over,3,37
2012,5 and over,4,36
2012,5 and over,5,22
2012,5 and over,6,21
2012,5 and over,7,17
2012,5 and over,8,14
2012,5 and over,9,10
2012,5 and over,10,
2012,5 and over,11,5
2012,5 and over,12,
2012,5 and over,13,
2012,5 and over,14,
2012,5 and over,15,
2012,5 and over,16,
2012,5 and over,17,
2013,1,0,64
2013,1,1,321
2013,1,2,556
2013,1,3,674
2013,1,4,624
2013,1,5,535
2013,1,6,484
2013,1,7,423
2013,1,8,358
2013,1,9,319
2013,1,10,329
2013,1,11,342
2013,1,12,346
2013,1,13,409
2013,1,14,503
2013,1,15,753
2013,1,16,959
2013,1,17,820
2013,2,0,
2013,2,1,255
2013,2,2,473
2013,2,3,662
2013,2,4,813
2013,2,5,804
2013,2,6,733
2013,2,7,692
2013,2,8,731
2013,2,9,682
2013,2,10,707
2013,2,11,
2013,2,12,659
2013,2,13,628
2013,2,14,559
2013,2,15,361
2013,2,16,
2013,2,17,19
2013,3,0,21
2013,3,1,
2013,3,2,197
2013,3,3,261
2013,3,4,343
2013,3,5,323
2013,3,6,332
2013,3,7,320
2013,3,8,288
2013,3,9,248
2013,3,10,225
2013,3,11,217
2013,3,12,153
2013,3,13,104
2013,3,14,48
2013,3,15,14
2013,3,16,
2013,3,17,
2013,4,0,6
2013,4,1,43
2013,4,2,76
2013,4,3,85
2013,4,4,97
2013,4,5,105
2013,4,6,104
2013,4,7,79
2013,4,8,71
2013,4,9,50
2013,4,10,36
2013,4,11,26
2013,4,12,9
2013,4,13,6
2013,4,14,3
2013,4,15,
2013,4,16,
2013,4,17,
2013,5 and over,0,0
2013,5 and over,1,1
2013,5 and over,2,2
2013,5 and over,3,3
2013,5 and over,4,4
2013,5 and over,5,5
2013,5 and over,6,6
2013,5 and over,7,7
2013,5 and over,8,8
2013,5 and over,9,9
2013,5 and over,10,10
2013,5 and over,11,11
2013,5 and over,12,12
2013,5 and over,13,13
2013,5 and over,14,14
2013,5 and over,15,15
2013,5 and over,16,16
2013,5 and over,17,17
2014,1,0,70
2014,1,1,317
2014,1,2,488
2014,1,3,580
2014,1,4,614
2014,1,5,543
2014,1,6,457
2014,1,7,402
2014,1,8,350
2014,1,9,351
2014,1,10,349
2014,1,11,352
2014,1,12,348
2014,1,13,434
2014,1,14,550
2014,1,15,746
2014,1,16,896
2014,1,17,761
2014,2,0,
2014,2,1,228
2014,2,2,461
2014,2,3,633
2014,2,4,718
2014,2,5,746
2014,2,6,785
2014,2,7,758
2014,2,8,712
2014,2,9,662
2014,2,10,686
2014,2,11,603
2014,2,12,634
2014,2,13,615
2014,2,14,545
2014,2,15,370
2014,2,16,
2014,2,17,16
2014,3,0,21
2014,3,1,
2014,3,2,162
2014,3,3,236
2014,3,4,305
2014,3,5,331
2014,3,6,331
2014,3,7,282
2014,3,8,277
2014,3,9,252
2014,3,10,204
2014,3,11,
2014,3,12,146
2014,3,13,102
2014,3,14,30
2014,3,15,
2014,3,16,
2014,3,17,
2014,4,0,14
2014,4,1,23
2014,4,2,56
2014,4,3,77
2014,4,4,87
2014,4,5,95
2014,4,6,85
2014,4,7,89
2014,4,8,80
2014,4,9,
2014,4,10,36
2014,4,11,26
2014,4,12,14
2014,4,13,10
2014,4,14,0
2014,4,15,
2014,4,16,
2014,4,17,
2014,5 and over,0,
2014,5 and over,1,
2014,5 and over,2,17
2014,5 and over,3,28
2014,5 and over,4,30
2014,5 and over,5,28
2014,5 and over,6,26
2014,5 and over,7,16
2014,5 and over,8,14
2014,5 and over,9,
2014,5 and over,10,5
2014,5 and over,11,
2014,5 and over,12,
2014,5 and over,13,
2014,5 and over,14,
2014,5 and over,15,
2014,5 and over,16,
2014,5 and over,17,
2015,1,0,57
2015,1,1,281
2015,1,2,560
2015,1,3,679
2015,1,4,607
2015,1,5,566
2015,1,6,522
2015,1,7,486
2015,1,8,398
2015,1,9,382
2015,1,10,348
2015,1,11,347
2015,1,12,337
2015,1,13,431
2015,1,14,597
2015,1,15,719
2015,1,16,978
2015,1,17,848
2015,2,0,63
2015,2,1,253
2015,2,2,476
2015,2,3,674
2015,2,4,785
2015,2,5,866
2015,2,6,741
2015,2,7,817
2015,2,8,754
2015,2,9,691
2015,2,10,671
2015,2,11,626
2015,2,12,669
2015,2,13,673
2015,2,14,538
2015,2,15,370
2015,2,16,110
2015,2,17,20
2015,3,0,
2015,3,1,75
2015,3,2,165
